,Type,Address,District,City,Price (€),Area (sqm.),Year built,Form of ownership
86,Paritalo | 3h + k + s,Kallionkuja 5 as 2,Keskusta,Kiuruvesi,73 000,76,1997,Omistusasunto
87,Rivitalo | 3h + k + s,Muotialankuja 5,Muotiala,Tampere,289 000,76,2007,Omistusasunto
88,Omakotitalo | 5h + k + s + khh + th + alakerrassa autotalli ja harrastetilaa,Laaksotie 5,Kirkonkylä,Nurmijärvi,230 000,140,1970,Omistusasunto
89,Omakotitalo | 4h + k + 2 wc + s + kph + kellaritilaa + ullakot,Moisionaukea 8,Moisio,Lempäälä,199 000,115,1957,Omistusasunto
90,Kerrostalo | 1h + kk + kph + lasitettu terassi (Yhtiöjärjestyksen mukaan 1h + k),Kangasvuokontie 3 B,Itäkeskus,Helsinki,113 000,"38,5",-,Omistusasunto
91,"Rivitalo | 2h, k, s, kph, vh, par",Lohjantie 13,Nummela,Vihti,124 000,"63,5",1976,Omistusasunto
92,"Luhtitalo | 4h, k, kph / khh / wc, s, wc, 2xvh",Kaupunginlahdenkatu 8,,Raahe,269 000,109,2019,Omistusasunto
93,Kerrostalo | 4h + k,Vapaudentie 36,Palosaari,Vaasa,179 000,90,1972,Omistusasunto
94,"Kerrostalo | 2h, k",Roukontie 8-12,Roukko,Valkeakoski,179 000,56,1968,Omistusasunto
95,"Kerrostalo | 2h, k, rt, kph, vh, parveke",Arhotie 24,Vartiokylä,Helsinki,160 000,50,1964,Omistusasunto
96,"Paritalo | 4h, k, rt, khh, kph, s, 2xwc, aula, parv, ter, ulkov., autokatos",Turkkisentie 5 B,Moisio,Lempäälä,335 000,"119,5",2014,Omistusasunto
97,"Kerrostalo | 3 h, k, kph, lasitettu parveke (Y. 3h + k)",Norrtäljentie 6,Oulunkylä,Helsinki,278 000,63,1965,Omistusasunto
98,Omakotitalo | 6h + k + saunaos. + kph + erill.wc + aula + kellari,Kolkerannankuja 3 A,Lippajärvi,Espoo,395 000,150,-,Omistusasunto
99,Kerrostalo | 2h + k,Linnunpääntie 2 D,Luolavuori,Turku,96 000,47,1966,Omistusasunto
100,"Omakotitalo | 3h, k, kh / wc, s, wc, aula, vh, varastot",Notkotie 8,Jynkkä,Kuopio,275 000,119,1980,Omistusasunto
101,"Kerrostalo | 1h, kt, alk",Itäinen Rantakatu 74,Telakkaranta,Turku,337 000,61,2017,Omistusasunto
102,Kerrostalo | 2h + k + kph (yj mukaan 2h + k),Steniuksentie 24,Haaga,Helsinki,298 000,58,1955,Omistusasunto
103,"Kerrostalo | 3h, keittiö, khh, erill. wc ja lasitettu parveke",Vattuniemenkatu 16b,Lauttasaari,Helsinki,569 400,78,1974,Omistusasunto
104,Kerrostalo | 2h + kk + s,Arabiankatu 6a,Arabianranta,Helsinki,418 000,"58,5",2015,Omistusasunto
105,"Omakotitalo | 3h, k, kph",Kaijaantie 5,Sorva,Nokia,208 000,61,1949,Omistusasunto
106,"Kerrostalo | 2h, k, vh, las.p",Uusitalontie 1 A,Pihlava,Pori,18 000,"50,5",1975,Omistusasunto
107,"Kerrostalo | 3-4h, avok, kph, khh, wc, s, parveke x2, terassi, varasto",Heino Kasken katu 5,Jätkäsaari,Helsinki,1 185 000,116,2017,Omistusasunto
108,"Kerrostalo | 4h, avokeittiö, erill. wc ja lasitettu parveke",Aallonhalkoja 9,Kalasatama,Helsinki,711 000,"78,5",2020,Omistusasunto
109,Rivitalo | 5h + k + s,Merikotkantie 4 B15,Kaukovainio,Oulu,349 000,"92,5",2023,Omistusasunto
110,Luhtitalo | 3h + kt + s,Merikotkantie 4 A5,Kaukovainio,Oulu,220 000,62,2023,Omistusasunto
111,"Omakotitalo | 5h, k, 2x ph, khh, s, wc, aula, p, kuisti, var",Eräkatu 6,Keljo,Jyväskylä,232 000,"124,7",1941,Omistusasunto
112,Luhtitalo | 2h + kk + s,Merikotkantie 4 A7,Kaukovainio,Oulu,185 000,50,2023,Omistusasunto
113,Paritalo | 4h + k + s,Merikotkantie 4 C21,Kaukovainio,Oulu,339 000,87,2023,Omistusasunto
114,Luhtitalo | 3h + kt + s,Merikotkantie 4 A1,Kaukovainio,Oulu,220 000,62,2023,Omistusasunto
115,"Rivitalo | mh*3, oh, k, vh, khh, kph, s, wc",Riihitallinpolku 2,Valkeala,Kouvola,139 500,88,2004,Omistusasunto
116,"Omakotitalo | 7h, k, et, wc, 2ph, khh, s, tekn.tila, parv",Vierrekuja 1,Luuniemi,Iisalmi,355 000,162,2014,Omistusasunto
117,"Omakotitalo | Oh, k, 3mh, kph, s, khh, WC, tk, terassi, kuisti + ak / varasto + grillikatos.",Länsiraitti 7,,Hirvensalmi,155 000,112,1992,Omistusasunto
118,"Omakotitalo | 3h, k, kph, s",Koivualhontie 57,Pakaa,Orimattila,62 000,75,1949,Omistusasunto
